layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
layer1.0.conv2,19,90.32,39.29,15.84,90.32,39.3,15.84
layer1.0.conv2,20,90.32,39.29,15.84,90.32,39.31,15.84
layer1.0.conv2,21,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,22,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,23,90.32,39.29,15.84,90.32,39.3,15.83
layer1.0.conv2,24,90.32,39.29,15.84,90.32,39.43,15.84
layer1.0.conv2,25,90.32,39.29,15.84,90.32,39.43,15.84
layer1.0.conv2,26,90.32,39.29,15.84,90.32,39.3,15.84
layer1.0.conv2,27,90.32,39.29,15.84,90.36,39.35,15.79
layer1.0.conv2,28,90.32,39.29,15.84,90.32,39.31,15.83
layer1.0.conv2,29,90.32,39.29,15.84,90.32,39.32,15.84
layer1.0.conv2,30,90.32,39.29,15.84,75.79,48.6,24.33
layer1.1.conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,5,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,6,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,7,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,8,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,9,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,10,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,11,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,12,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv1,13,90.32,39.29,15.84,90.32,39.3,15.84
layer1.1.conv1,14,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,15,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv1,16,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv1,17,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv1,18,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv1,19,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,20,90.32,39.29,15.84,90.32,39.3,15.84
layer1.1.conv1,21,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,22,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,23,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv1,24,90.32,39.29,15.84,90.32,39.35,15.84
layer1.1.conv1,25,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,26,90.32,39.29,15.84,90.32,39.23,15.83
layer1.1.conv1,27,90.32,39.29,15.84,90.39,39.35,15.76
layer1.1.conv1,28,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,29,90.32,39.29,15.84,90.32,39.3,15.84
layer1.1.conv1,30,90.32,39.29,15.84,79.31,44.38,20.98
layer1.1.conv2,0,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,1,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,2,90.32,39.29,15.84,90.32,39.29,15.84
